case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width,track_to_predict,interesting_agent
1.0,1,1,100,car,990.866,1042.23,-7.83,9.233,2.274,4.23,1.86,0.0,0.0
1.0,1,2,200,car,990.085,1043.155,-7.817,9.242,2.273,4.23,1.86,0.0,0.0
1.0,1,3,300,car,989.304,1044.08,-7.805,9.253,2.272,4.23,1.86,0.0,0.0
1.0,2,1,100,car,990.717,1037.215,-7.769,9.452,2.259,5.88,2.4,0.0,0.0
1.0,2,2,200,car,989.944,1038.163,-7.747000000000001,9.47,2.256,5.88,2.4,0.0,0.0
1.0,2,3,300,car,989.172,1039.113,-7.726,9.488,2.254,5.88,2.4,0.0,0.0
1.0,2,4,400,car,988.403,1040.064,-7.707000000000001,9.504,2.252,5.88,2.4,0.0,0.0
1.0,2,5,500,car,987.635,1041.017,-7.688,9.52,2.25,5.88,2.4,0.0,0.0
1.0,2,6,600,car,986.869,1041.972,-7.667999999999999,9.536,2.248,5.88,2.4,0.0,0.0
1.0,3,1,100,car,1006.473,1024.3239999999998,-8.652999999999999,8.565,2.361,4.45,1.88,0.0,0.0
1.0,3,2,200,car,1005.614,1025.187,-8.589,8.618,2.355,4.45,1.88,0.0,0.0
1.0,3,3,300,car,1004.762,1026.056,-8.523,8.671,2.3480000000000003,4.45,1.88,0.0,0.0
1.0,3,4,400,car,1003.917,1026.93,-8.456,8.725,2.341,4.45,1.88,0.0,0.0
1.0,3,5,500,car,1003.078,1027.809,-8.39,8.779,2.334,4.45,1.88,0.0,0.0
1.0,3,6,600,car,1002.247,1028.694,-8.323,8.832,2.327,4.45,1.88,0.0,0.0
1.0,3,7,700,car,1001.421,1029.583,-8.257,8.885,2.32,4.45,1.88,0.0,0.0
1.0,3,8,800,car,1000.603,1030.478,-8.192,8.936,2.313,4.45,1.88,0.0,0.0
1.0,3,9,900,car,999.79,1031.378,-8.129,8.985,2.306,4.45,1.88,0.0,0.0
1.0,3,10,1000,car,998.984,1032.282,-8.068999999999999,9.031,2.3,4.45,1.88,0.0,0.0
1.0,4,1,100,car,1017.393,1006.929,-12.099,7.659,2.577,4.21,1.82,0.0,0.0
1.0,4,2,200,car,1016.189,1007.705,-12.093,7.795,2.569,4.21,1.82,0.0,0.0
1.0,4,3,300,car,1014.986,1008.494,-12.079,7.936,2.56,4.21,1.82,0.0,0.0
1.0,4,4,400,car,1013.786,1009.298,-12.057,8.081,2.551,4.21,1.82,0.0,0.0
1.0,4,5,500,car,1012.587,1010.118,-12.027,8.229,2.542,4.21,1.82,0.0,0.0
1.0,4,6,600,car,1011.393,1010.952,-11.989,8.382,2.531,4.21,1.82,0.0,0.0
1.0,4,7,700,car,1010.202,1011.802,-11.943,8.538,2.521,4.21,1.82,0.0,0.0
1.0,4,8,800,car,1009.017,1012.668,-11.89,8.697000000000001,2.51,4.21,1.82,0.0,0.0
1.0,4,9,900,car,1007.837,1013.55,-11.83,8.857999999999999,2.499,4.21,1.82,0.0,0.0
1.0,4,10,1000,car,1006.663,1014.449,-11.764,9.021,2.487,4.21,1.82,0.0,0.0
1.0,11,9,900,car,1087.69,961.688,-11.379,5.68,2.679,4.92,1.86,0.0,0.0
1.0,11,10,1000,car,1086.552,962.258,-11.383,5.697,2.678,4.92,1.86,0.0,0.0
1.0,5,1,100,car,1028.781,1000.669,-10.89,7.063,2.5660000000000003,4.59,1.81,1,0.0
1.0,5,2,200,car,1027.696,1001.381,-10.931,7.165,2.5610000000000004,4.59,1.81,1,0.0
1.0,5,3,300,car,1026.607,1002.103,-10.976,7.271,2.556,4.59,1.81,1,0.0
1.0,5,4,400,car,1025.513,1002.836,-11.022,7.382999999999999,2.551,4.59,1.81,1,0.0
1.0,5,5,500,car,1024.415,1003.58,-11.068,7.497999999999999,2.546,4.59,1.81,1,0.0
1.0,5,6,600,car,1023.312,1004.336,-11.114,7.616,2.541,4.59,1.81,1,0.0
1.0,5,7,700,car,1022.205,1005.104,-11.158,7.736000000000001,2.535,4.59,1.81,1,0.0
1.0,5,8,800,car,1021.094,1005.884,-11.198,7.858,2.53,4.59,1.81,1,0.0
1.0,5,9,900,car,1019.979,1006.676,-11.234000000000002,7.981,2.524,4.59,1.81,1,0.0
1.0,5,10,1000,car,1018.86,1007.481,-11.263,8.104,2.518,4.59,1.81,1,0.0
1.0,6,1,100,car,1028.906,1005.694,-10.92,7.903,2.515,4.29,1.75,1,0.0
1.0,6,2,200,car,1027.817,1006.488,-10.889,7.941,2.511,4.29,1.75,1,0.0
1.0,6,3,300,car,1026.731,1007.287,-10.859000000000002,7.984,2.508,4.29,1.75,1,0.0
1.0,6,4,400,car,1025.649,1008.09,-10.831,8.032,2.503,4.29,1.75,1,0.0
1.0,6,5,500,car,1024.569,1008.898,-10.803,8.084,2.499,4.29,1.75,1,0.0
1.0,6,6,600,car,1023.493,1009.711,-10.774,8.138,2.495,4.29,1.75,1,0.0
1.0,6,7,700,car,1022.419,1010.53,-10.744000000000002,8.193,2.49,4.29,1.75,1,0.0
1.0,6,8,800,car,1021.349,1011.355,-10.712,8.249,2.485,4.29,1.75,1,0.0
1.0,6,9,900,car,1020.282,1012.185,-10.678,8.306000000000001,2.481,4.29,1.75,1,0.0
1.0,6,10,1000,car,1019.218,1013.021,-10.642,8.362,2.476,4.29,1.75,1,0.0
1.0,7,1,100,car,1037.181,989.976,-10.491,7.925,2.495,4.03,1.85,1,0.0
1.0,7,2,200,car,1036.137,990.776,-10.385,7.95,2.488,4.03,1.85,1,0.0
1.0,7,3,300,car,1035.104,991.578,-10.284,7.978,2.482,4.03,1.85,1,0.0
1.0,7,4,400,car,1034.081,992.383,-10.188,8.008,2.475,4.03,1.85,1,0.0
1.0,7,5,500,car,1033.068,993.191,-10.098,8.042,2.469,4.03,1.85,1,0.0
1.0,7,6,600,car,1032.064,994.002,-10.014,8.077,2.463,4.03,1.85,1,0.0
1.0,7,7,700,car,1031.068,994.816,-9.936,8.115,2.457,4.03,1.85,1,0.0
1.0,7,8,800,car,1030.079,995.634,-9.864,8.155,2.451,4.03,1.85,1,0.0
1.0,7,9,900,car,1029.098,996.456,-9.798,8.198,2.445,4.03,1.85,1,0.0
1.0,7,10,1000,car,1028.124,997.282,-9.737,8.243,2.439,4.03,1.85,1,0.0
1.0,9,1,100,car,1063.995,971.444,-10.883,6.063,2.633,4.46,1.78,1,0.0
1.0,9,2,200,car,1062.91,972.055,-10.849,6.097,2.63,4.46,1.78,1,0.0
1.0,9,3,300,car,1061.827,972.67,-10.813,6.13,2.6260000000000003,4.46,1.78,1,0.0
1.0,9,4,400,car,1060.748,973.287,-10.775,6.1610000000000005,2.622,4.46,1.78,1,0.0
1.0,9,5,500,car,1059.673,973.907,-10.736,6.19,2.619,4.46,1.78,1,0.0
1.0,9,6,600,car,1058.602,974.531,-10.694,6.216,2.615,4.46,1.78,1,0.0
1.0,9,7,700,car,1057.535,975.156,-10.649,6.24,2.612,4.46,1.78,1,0.0
1.0,9,8,800,car,1056.473,975.784,-10.602,6.261,2.608,4.46,1.78,1,0.0
1.0,9,9,900,car,1055.415,976.415,-10.552,6.279,2.605,4.46,1.78,1,0.0
1.0,9,10,1000,car,1054.362,977.046,-10.499,6.294,2.602,4.46,1.78,1,0.0
1.0,10,1,100,car,1072.187,977.729,-15.149,7.984,2.657,4.18,1.82,1,0.0
1.0,10,2,200,car,1070.6760000000002,978.534,-15.071,8.048,2.651,4.18,1.82,1,0.0
1.0,10,3,300,car,1069.172,979.345,-14.994000000000002,8.113,2.6460000000000004,4.18,1.82,1,0.0
1.0,10,4,400,car,1067.677,980.164,-14.917,8.181000000000001,2.64,4.18,1.82,1,0.0
1.0,10,5,500,car,1066.189,980.989,-14.84,8.248,2.634,4.18,1.82,1,0.0
1.0,10,6,600,car,1064.7089999999998,981.82,-14.762,8.316,2.629,4.18,1.82,1,0.0
1.0,10,7,700,car,1063.237,982.659,-14.683,8.383,2.623,4.18,1.82,1,0.0
1.0,10,8,800,car,1061.772,983.504,-14.601,8.45,2.617,4.18,1.82,1,0.0
1.0,10,9,900,car,1060.316,984.356,-14.517,8.516,2.611,4.18,1.82,1,0.0
1.0,10,10,1000,car,1058.869,985.215,-14.43,8.581,2.605,4.18,1.82,1,0.0
